Method,AUPRC,Recall@10,Recall@30,Recall@50,Recall@100,Seed/SD,Status
Random,0.000250,0.0192,0.0577,0.0962,0.1923,Analytical,Valid
Pearson,0.003087,0.1891,0.5609,0.6571,0.7340,Deterministic,Valid
Common Neighbors,0.007624,0.1635,0.3269,0.4423,0.5481,Deterministic,Valid
JEN,0.001057,0.1795,0.2564,0.2564,0.2628,0.000002,Valid
GAT,0.010622,0.2179,0.9615,1.0000,1.0000,0.003062,Valid
GAT+JEN,0.019209,0.3846,0.9679,1.0000,1.0000,0.002726,Valid
gNAISTO,NOT EXECUTABLE,NOT EXECUTABLE,NOT EXECUTABLE,NOT EXECUTABLE,NOT EXECUTABLE,NR,Inconclusive
